ObjectType,x,y,z
Corner,-57.91335,0,84.80459
Corner,142.04,0,84.80459
Corner,142.04,0,-114.4163
Corner,-57.91335,0,-114.4163
BorderObj,-55.91335,0,84.80459
BorderObj,-55.91335,0,-114.4163
BorderObj,-53.91335,0,84.80459
BorderObj,-53.91335,0,-114.4163
BorderObj,-51.91335,0,84.80459
BorderObj,-51.91335,0,-114.4163
BorderObj,-49.91335,0,84.80459
BorderObj,-49.91335,0,-114.4163
BorderObj,-47.91335,0,84.80459
BorderObj,-47.91335,0,-114.4163
BorderObj,-45.91335,0,84.80459
BorderObj,-45.91335,0,-114.4163
BorderObj,-43.91335,0,84.80459
BorderObj,-43.91335,0,-114.4163
BorderObj,-41.91335,0,84.80459
BorderObj,-41.91335,0,-114.4163
BorderObj,-39.91335,0,84.80459
BorderObj,-39.91335,0,-114.4163
BorderObj,-37.91335,0,84.80459
BorderObj,-37.91335,0,-114.4163
BorderObj,-35.91335,0,84.80459
BorderObj,-35.91335,0,-114.4163
BorderObj,-33.91335,0,84.80459
BorderObj,-33.91335,0,-114.4163
BorderObj,-31.91335,0,84.80459
BorderObj,-31.91335,0,-114.4163
BorderObj,-29.91335,0,84.80459
BorderObj,-29.91335,0,-114.4163
BorderObj,-27.91335,0,84.80459
BorderObj,-27.91335,0,-114.4163
BorderObj,-25.91335,0,84.80459
BorderObj,-25.91335,0,-114.4163
BorderObj,-23.91335,0,84.80459
BorderObj,-23.91335,0,-114.4163
BorderObj,-21.91335,0,84.80459
BorderObj,-21.91335,0,-114.4163
BorderObj,-19.91335,0,84.80459
BorderObj,-19.91335,0,-114.4163
BorderObj,-17.91335,0,84.80459
BorderObj,-17.91335,0,-114.4163
BorderObj,-15.91335,0,84.80459
BorderObj,-15.91335,0,-114.4163
BorderObj,-13.91335,0,84.80459
BorderObj,-13.91335,0,-114.4163
BorderObj,-11.91335,0,84.80459
BorderObj,-11.91335,0,-114.4163
BorderObj,-9.913349,0,84.80459
BorderObj,-9.913349,0,-114.4163
BorderObj,-7.913349,0,84.80459
BorderObj,-7.913349,0,-114.4163
BorderObj,-5.913349,0,84.80459
BorderObj,-5.913349,0,-114.4163
BorderObj,-3.913349,0,84.80459
BorderObj,-3.913349,0,-114.4163
BorderObj,-1.913349,0,84.80459
BorderObj,-1.913349,0,-114.4163
BorderObj,0.08665085,0,84.80459
BorderObj,0.08665085,0,-114.4163
BorderObj,2.086651,0,84.80459
BorderObj,2.086651,0,-114.4163
BorderObj,4.086651,0,84.80459
BorderObj,4.086651,0,-114.4163
BorderObj,6.086651,0,84.80459
BorderObj,6.086651,0,-114.4163
BorderObj,8.086651,0,84.80459
BorderObj,8.086651,0,-114.4163
BorderObj,10.08665,0,84.80459
BorderObj,10.08665,0,-114.4163
BorderObj,12.08665,0,84.80459
BorderObj,12.08665,0,-114.4163
BorderObj,14.08665,0,84.80459
BorderObj,14.08665,0,-114.4163
BorderObj,16.08665,0,84.80459
BorderObj,16.08665,0,-114.4163
BorderObj,18.08665,0,84.80459
BorderObj,18.08665,0,-114.4163
BorderObj,20.08665,0,84.80459
BorderObj,20.08665,0,-114.4163
BorderObj,22.08665,0,84.80459
BorderObj,22.08665,0,-114.4163
BorderObj,24.08665,0,84.80459
BorderObj,24.08665,0,-114.4163
BorderObj,26.08665,0,84.80459
BorderObj,26.08665,0,-114.4163
BorderObj,28.08665,0,84.80459
BorderObj,28.08665,0,-114.4163
BorderObj,30.08665,0,84.80459
BorderObj,30.08665,0,-114.4163
BorderObj,32.08665,0,84.80459
BorderObj,32.08665,0,-114.4163
BorderObj,34.08665,0,84.80459
BorderObj,34.08665,0,-114.4163
BorderObj,36.08665,0,84.80459
BorderObj,36.08665,0,-114.4163
BorderObj,38.08665,0,84.80459
BorderObj,38.08665,0,-114.4163
BorderObj,40.08665,0,84.80459
BorderObj,40.08665,0,-114.4163
BorderObj,42.08665,0,84.80459
BorderObj,42.08665,0,-114.4163
BorderObj,44.08665,0,84.80459
BorderObj,44.08665,0,-114.4163
BorderObj,46.08665,0,84.80459
BorderObj,46.08665,0,-114.4163
BorderObj,48.08665,0,84.80459
BorderObj,48.08665,0,-114.4163
BorderObj,50.08665,0,84.80459
BorderObj,50.08665,0,-114.4163
BorderObj,52.08665,0,84.80459
BorderObj,52.08665,0,-114.4163
BorderObj,54.08665,0,84.80459
BorderObj,54.08665,0,-114.4163
BorderObj,56.08665,0,84.80459
BorderObj,56.08665,0,-114.4163
BorderObj,58.08665,0,84.80459
BorderObj,58.08665,0,-114.4163
BorderObj,60.08665,0,84.80459
BorderObj,60.08665,0,-114.4163
BorderObj,62.08665,0,84.80459
BorderObj,62.08665,0,-114.4163
BorderObj,64.08665,0,84.80459
BorderObj,64.08665,0,-114.4163
BorderObj,66.08665,0,84.80459
BorderObj,66.08665,0,-114.4163
BorderObj,68.08665,0,84.80459
BorderObj,68.08665,0,-114.4163
BorderObj,70.08665,0,84.80459
BorderObj,70.08665,0,-114.4163
BorderObj,72.08665,0,84.80459
BorderObj,72.08665,0,-114.4163
BorderObj,74.08665,0,84.80459
BorderObj,74.08665,0,-114.4163
BorderObj,76.08665,0,84.80459
BorderObj,76.08665,0,-114.4163
BorderObj,78.08665,0,84.80459
BorderObj,78.08665,0,-114.4163
BorderObj,80.08665,0,84.80459
BorderObj,80.08665,0,-114.4163
BorderObj,82.08665,0,84.80459
BorderObj,82.08665,0,-114.4163
BorderObj,84.08665,0,84.80459
BorderObj,84.08665,0,-114.4163
BorderObj,86.08665,0,84.80459
BorderObj,86.08665,0,-114.4163
BorderObj,88.08665,0,84.80459
BorderObj,88.08665,0,-114.4163
BorderObj,90.08665,0,84.80459
BorderObj,90.08665,0,-114.4163
BorderObj,92.08665,0,84.80459
BorderObj,92.08665,0,-114.4163
BorderObj,94.08665,0,84.80459
BorderObj,94.08665,0,-114.4163
BorderObj,96.08665,0,84.80459
BorderObj,96.08665,0,-114.4163
BorderObj,98.08665,0,84.80459
BorderObj,98.08665,0,-114.4163
BorderObj,100.0867,0,84.80459
BorderObj,100.0867,0,-114.4163
BorderObj,102.0867,0,84.80459
BorderObj,102.0867,0,-114.4163
BorderObj,104.0867,0,84.80459
BorderObj,104.0867,0,-114.4163
BorderObj,106.0867,0,84.80459
BorderObj,106.0867,0,-114.4163
BorderObj,108.0867,0,84.80459
BorderObj,108.0867,0,-114.4163
BorderObj,110.0867,0,84.80459
BorderObj,110.0867,0,-114.4163
BorderObj,112.0867,0,84.80459
BorderObj,112.0867,0,-114.4163
BorderObj,114.0867,0,84.80459
BorderObj,114.0867,0,-114.4163
BorderObj,116.0867,0,84.80459
BorderObj,116.0867,0,-114.4163
BorderObj,118.0867,0,84.80459
BorderObj,118.0867,0,-114.4163
BorderObj,120.0867,0,84.80459
BorderObj,120.0867,0,-114.4163
BorderObj,122.0867,0,84.80459
BorderObj,122.0867,0,-114.4163
BorderObj,124.0867,0,84.80459
BorderObj,124.0867,0,-114.4163
BorderObj,126.0867,0,84.80459
BorderObj,126.0867,0,-114.4163
BorderObj,128.0867,0,84.80459
BorderObj,128.0867,0,-114.4163
BorderObj,130.0867,0,84.80459
BorderObj,130.0867,0,-114.4163
BorderObj,132.0867,0,84.80459
BorderObj,132.0867,0,-114.4163
BorderObj,134.0867,0,84.80459
BorderObj,134.0867,0,-114.4163
BorderObj,136.0867,0,84.80459
BorderObj,136.0867,0,-114.4163
BorderObj,138.0867,0,84.80459
BorderObj,138.0867,0,-114.4163
BorderObj,140.0867,0,84.80459
BorderObj,140.0867,0,-114.4163
BorderObj,-57.91335,0,-112.4163
BorderObj,142.04,0,-112.4163
BorderObj,-57.91335,0,-110.4163
BorderObj,142.04,0,-110.4163
BorderObj,-57.91335,0,-108.4163
BorderObj,142.04,0,-108.4163
BorderObj,-57.91335,0,-106.4163
BorderObj,142.04,0,-106.4163
BorderObj,-57.91335,0,-104.4163
BorderObj,142.04,0,-104.4163
BorderObj,-57.91335,0,-102.4163
BorderObj,142.04,0,-102.4163
BorderObj,-57.91335,0,-100.4163
BorderObj,142.04,0,-100.4163
BorderObj,-57.91335,0,-98.41632
BorderObj,142.04,0,-98.41632
BorderObj,-57.91335,0,-96.41632
BorderObj,142.04,0,-96.41632
BorderObj,-57.91335,0,-94.41632
