Event,Time,x,y,z
Transform.Position,0.3533334,42.03644,0,-14.65633
Transform.Position,0.3867778,42.0404,0,-14.61668
Transform.Position,0.4037232,42.04779,0,-14.59176
Transform.Position,0.4116242,42.05968,0,-14.58064
Transform.Position,0.4277256,42.08144,0,-14.55697
Transform.Position,0.4437312,42.10074,0,-14.53202
Transform.Position,0.4715152,42.13831,0,-14.48456
Transform.Position,0.4800745,42.1507,0,-14.46904
Transform.Position,0.5079105,42.19431,0,-14.41595
Transform.Position,0.5233259,42.22133,0,-14.38453
Transform.Position,0.5473197,42.26723,0,-14.33681
Transform.Position,0.5634265,42.29754,0,-14.3109
Transform.Position,0.5874723,42.34325,0,-14.27327
Transform.Position,0.6035562,42.37363,0,-14.24845
Transform.Position,0.6233299,42.41073,0,-14.2182
Transform.Position,0.6473451,42.45459,0,-14.18133
Transform.Position,0.6634365,42.48364,0,-14.15673
Transform.Position,0.6915553,42.53293,0,-14.11371
Transform.Position,0.7032566,42.55307,0,-14.09594
Transform.Position,0.7072102,42.55982,0,-14.09
Transform.Position,0.7232681,42.58717,0,-14.06594
Transform.Position,0.7432355,42.62069,0,-14.03634
Transform.Position,0.7716758,42.66722,0,-13.9948
Transform.Position,0.7873393,42.6922,0,-13.97217
Transform.Position,0.8032777,42.71748,0,-13.94903
Transform.Position,0.8240395,42.75117,0,-13.91775
Transform.Position,0.8554503,42.80396,0,-13.86783
Transform.Position,0.8634328,42.81765,0,-13.85473
Transform.Position,0.887462,42.85923,0,-13.81454
Transform.Position,0.9034646,42.88726,0,-13.78711
Transform.Position,0.9232516,42.92164,0,-13.75238
Transform.Position,0.9432082,42.95667,0,-13.71736
Transform.Position,0.9632626,42.99191,0,-13.68229
Transform.Position,0.9873567,43.03391,0,-13.64046
Transform.Position,1.003404,43.06166,0,-13.61308
Transform.Position,1.023494,43.09628,0,-13.57952
Transform.Position,1.031463,43.10986,0,-13.56643
Transform.Position,1.043293,43.12978,0,-13.54717
Transform.Position,1.071626,43.175,0,-13.50251
Transform.Position,1.087355,43.19893,0,-13.47856
Transform.Position,1.103322,43.22268,0,-13.45479
Transform.Position,1.12342,43.25271,0,-13.42504
Transform.Position,1.147985,43.29061,0,-13.38747
Transform.Position,1.163428,43.3152,0,-13.36338
Transform.Position,1.187504,43.35534,0,-13.32526
Transform.Position,1.203432,43.38261,0,-13.29996
Transform.Position,1.22735,43.42518,0,-13.26241
Transform.Position,1.243483,43.455,0,-13.23753
Transform.Position,1.263779,43.49264,0,-13.20579
Transform.Position,1.283734,43.53001,0,-13.17475
Transform.Position,1.30763,43.57432,0,-13.13696
Transform.Position,1.323427,43.6033,0,-13.11179
Transform.Position,1.339521,43.63234,0,-13.08591
Transform.Position,1.343386,43.63924,0,-13.0797
Transform.Position,1.363453,43.6749,0,-13.04744
Transform.Position,1.387568,43.71695,0,-13.00912
Transform.Position,1.403561,43.74432,0,-12.98415
Transform.Position,1.427306,43.78397,0,-12.94777
Transform.Position,1.443473,43.81017,0,-12.92353
Transform.Position,1.467812,43.8487,0,-12.88739
Transform.Position,1.483654,43.87379,0,-12.86348
Transform.Position,1.507739,43.91275,0,-12.82587
Transform.Position,1.523511,43.93876,0,-12.80057
Transform.Position,1.543278,43.97159,0,-12.7681
Transform.Position,1.563389,44.00549,0,-12.7344
Transform.Position,1.587466,44.04605,0,-12.6932
Transform.Position,1.604056,44.07406,0,-12.66438
Transform.Position,1.627818,44.11451,0,-12.62321
Transform.Position,1.643376,44.14096,0,-12.59619
Transform.Position,1.663265,44.17453,0,-12.56163
Transform.Position,1.687478,44.21591,0,-12.52088
Transform.Position,1.703473,44.24308,0,-12.49427
Transform.Position,1.727661,44.2832,0,-12.45441
Transform.Position,1.743522,44.30884,0,-12.42856
Transform.Position,1.767629,44.34681,0,-12.39009
Transform.Position,1.787479,44.37716,0,-12.35948
Transform.Position,1.803455,44.40135,0,-12.33508
Transform.Position,1.827753,44.43989,0,-12.29658
Transform.Position,1.843396,44.46597,0,-12.27111
Transform.Position,1.863366,44.50059,0,-12.2381
Transform.Position,1.883347,44.53625,0,-12.20506
Transform.Position,1.90732,44.58163,0,-12.16634
Transform.Position,1.923296,44.61189,0,-12.14016
Transform.Position,1.955316,44.67269,0,-12.08786
Transform.Position,1.963891,44.68879,0,-12.0738
Transform.Position,1.98751,44.73251,0,-12.03523
Transform.Position,2.003386,44.76112,0,-12.00954
Transform.Position,2.023226,44.79583,0,-11.97778
Transform.Position,2.055577,44.8507,0,-11.92693
Transform.Position,2.06373,44.86437,0,-11.91426
Transform.Position,2.087486,44.90228,0,-11.87907
Transform.Position,2.103583,44.92633,0,-11.85658
Transform.Position,2.123255,44.95589,0,-11.82864
Transform.Position,2.15592,45.00957,0,-11.77658
Transform.Position,2.163693,45.02287,0,-11.76355
Transform.Position,2.187751,45.06438,0,-11.72256
Transform.Position,2.203531,45.09188,0,-11.69505
Transform.Position,2.223377,45.12651,0,-11.65997
Transform.Position,2.247525,45.1685,0,-11.61669
Transform.Position,2.263316,45.19563,0,-11.58811
Transform.Position,2.287373,45.23713,0,-11.54534
Transform.Position,2.303394,45.2644,0,-11.51716
Transform.Position,2.323531,45.2975,0,-11.4824
Transform.Position,2.343695,45.33035,0,-11.4491
Transform.Position,2.367782,45.36895,0,-11.41024
Transform.Position,2.387547,45.39949,0,-11.3793
Transform.Position,2.403477,45.42369,0,-11.35445
Transform.Position,2.423428,45.45375,0,-11.32334
